action,run_nr,file_name,hbase,rondb,rondb_cluster
insert,0,insert_0,7.656224966049194,3.5469002723693848,2.4528558254241943
insert,1,insert_1,7.363228797912598,3.494582176208496,2.48394775390625
insert,2,insert_2,7.177110910415649,3.5755069255828857,2.5969762802124023
insert,3,insert_3,7.129715442657471,3.625946044921875,2.639089584350586
insert,4,insert_4,7.208897352218628,3.7894699573516846,2.780735969543457
insert,5,insert_5,7.33783483505249,3.8247811794281006,2.8778645992279053
insert,6,insert_6,7.421869993209839,3.981478214263916,2.9320497512817383
insert,7,insert_7,7.37492561340332,4.1880762577056885,3.014143943786621
insert,8,insert_8,7.576872825622559,4.129072666168213,3.1404459476470947
insert,9,insert_9,8.007757186889648,5.307482719421387,3.5107123851776123
upsert,0,upsert_0,20.272356748580933,5.9554197788238525,4.454273462295532
upsert,1,upsert_1,19.38641047477722,5.543524980545044,4.0423970222473145
upsert,2,upsert_2,17.96272897720337,5.762120723724365,4.000277042388916
upsert,3,upsert_3,17.075483560562134,6.459454298019409,3.982574701309204
upsert,4,upsert_4,16.872925519943237,5.597818851470947,3.897829294204712
upsert,5,upsert_5,15.750478029251099,5.790668725967407,3.973167896270752
upsert,6,upsert_6,15.772321224212646,5.542943954467773,3.9779231548309326
upsert,7,upsert_7,15.094755172729492,5.412359237670898,4.167482137680054
upsert,8,upsert_8,14.237777709960938,5.41553521156311,4.141053915023804
upsert,9,upsert_9,14.220417261123657,5.43635892868042,4.261726140975952
delete,0,delete_0,4.941365718841553,5.122886419296265,4.274381399154663
delete,1,delete_1,4.894635915756226,5.440428018569946,4.287976503372192
delete,2,delete_2,4.82646918296814,5.327401161193848,4.3893208503723145
delete,3,delete_3,4.723867177963257,5.565004587173462,4.14670991897583
delete,4,delete_4,4.7791054248809814,5.141442775726318,4.067263841629028
delete,5,delete_5,4.676575183868408,5.26784873008728,4.1012654304504395
delete,6,delete_6,4.617895841598511,4.745781660079956,3.9405906200408936
delete,7,delete_7,4.553359031677246,4.6681506633758545,3.919991970062256
delete,8,delete_8,4.36322546005249,4.612613677978516,3.9871904850006104
delete,9,delete_9,4.4922990798950195,4.667375564575195,3.939601182937622
