action,run_nr,file_name,bloom,simple,hbase,rondb,rondb_cluster
insert,0,insert_0,2.5360240936279297,1.8377771377563477,1.5578935146331787,1.9559080600738525,1.765059471130371
insert,1,insert_1,2.0602357387542725,1.878105878829956,1.510047197341919,1.8504798412322998,1.8913943767547607
insert,2,insert_2,2.0700178146362305,1.824491262435913,1.4898548126220703,1.9395389556884766,1.8648152351379395
insert,3,insert_3,2.0888020992279053,1.8474946022033691,1.5560929775238037,1.9588370323181152,1.8358981609344482
insert,4,insert_4,1.938668966293335,1.9645671844482422,1.6531012058258057,1.9247987270355225,1.781135082244873
insert,5,insert_5,2.0267281532287598,1.8298578262329102,1.5734236240386963,1.8632957935333252,1.818281888961792
insert,6,insert_6,1.9966065883636475,1.8664240837097168,1.5420186519622803,1.8266260623931885,1.8129169940948486
insert,7,insert_7,2.05087947845459,1.798837423324585,1.5876660346984863,2.0411264896392822,1.8551373481750488
insert,8,insert_8,1.920400619506836,1.9203314781188965,1.5595827102661133,1.9685115814208984,1.7789738178253174
insert,9,insert_9,2.3328235149383545,2.087662935256958,1.8441040515899658,2.158606767654419,2.098008155822754
upsert,0,upsert_0,3.3437273502349854,4.7558112144470215,1.9562275409698486,2.4335503578186035,2.2508151531219482
upsert,1,upsert_1,3.0789237022399902,4.762511730194092,1.90604829788208,2.251035213470459,2.0988121032714844
upsert,2,upsert_2,3.027312994003296,4.540565490722656,1.8775217533111572,2.239403486251831,2.117023468017578
upsert,3,upsert_3,2.9366648197174072,4.705991744995117,1.8506050109863281,2.2667901515960693,2.1449782848358154
upsert,4,upsert_4,2.9236135482788086,4.882493019104004,1.8775355815887451,2.1991348266601562,2.1831705570220947
upsert,5,upsert_5,2.847524642944336,4.830058574676514,1.9034056663513184,2.19364857673645,2.1352458000183105
upsert,6,upsert_6,2.823307991027832,4.989438772201538,1.824371576309204,2.2674546241760254,2.141242027282715
upsert,7,upsert_7,2.807469367980957,4.665558338165283,1.9275898933410645,2.2601757049560547,2.1481690406799316
upsert,8,upsert_8,2.939534902572632,4.577359914779663,1.9322996139526367,2.256197929382324,2.1420602798461914
upsert,9,upsert_9,2.815450429916382,4.505881309509277,1.9296319484710693,2.234560012817383,2.235036849975586
delete,0,delete_0,2.80814790725708,4.488866329193115,1.916229486465454,2.1968984603881836,2.290257692337036
delete,1,delete_1,2.8389410972595215,4.908131122589111,1.948333978652954,2.289726972579956,2.2451202869415283
delete,2,delete_2,2.84893798828125,4.530894756317139,1.9276542663574219,2.2508656978607178,2.2685327529907227
delete,3,delete_3,2.78875732421875,4.588717222213745,1.960071325302124,2.2952816486358643,2.1970062255859375
delete,4,delete_4,2.8418824672698975,4.626911401748657,1.9111433029174805,2.2939159870147705,2.1945858001708984
delete,5,delete_5,2.7963860034942627,4.504221200942993,1.8804004192352295,2.2093873023986816,2.2206263542175293
delete,6,delete_6,2.8165767192840576,4.965329885482788,1.9311037063598633,2.2006211280822754,2.205143451690674
delete,7,delete_7,2.768536329269409,4.4733991622924805,1.9566550254821777,2.301299810409546,2.1910765171051025
delete,8,delete_8,2.8229966163635254,4.505159616470337,1.925844430923462,2.295048713684082,2.2321689128875732
delete,9,delete_9,2.7527966499328613,4.414459705352783,1.9397797584533691,2.292670726776123,2.1956887245178223
